	id	dk1	dk2	z	logFluxUV	logFluxErrUV	logFluxX	logFluxErrX	dk3	dk4	dk5	dk6	dk7
0	NGC4593	189.914272	-5.344261	0.009	-25.7857	0.003	-28.385	0.01	7	1.711	0.055	31.684266	0.244835
1	NGC7469	345.815095	8.873997	0.0163	-25.0169	0.01	-28.551	0.01	7	1.69	0.06	35.926231	0.119022
2	ARK120	79.047588	-0.149827	0.0327	-24.8822	0.005	-28.393	0.01	7	1.772	0.011	35.435843	0.11618
3	LEDA088639	176.418634	-18.454307	0.0329	-25.372	0.006	-28.575	0.01	7	1.634	0.01	34.630745	0.155856
4	MRK509	311.040577	-10.723484	0.0344	-24.8913	0.006	-28.435	0.01	7	1.64	0.03	35.675532	0.113401
5	MRK841	226.005003	10.43782	0.0364	-25.4624	0.011	-29.151	0.01	7	1.3	0.03	38.058736	0.106671
6	ESO141G055	290.308902	-58.670307	0.0371	-25.0985	0.007	-28.473	0.01	7	2.06	0.21	35.077846	0.133971
7	MRK926	346.181157	-8.685728	0.0469	-25.2542	0.018	-28.541	0.01	7	1.63	0.05	34.888812	0.160337
8	FAIRALL9	20.940736	-58.805784	0.047	-25.3364	0.01	-29.013	0.01	7	1.49	0.03	37.664609	0.105939
9	IRAS09149-6206	139.039125	-62.324972	0.0573	-25.1889	0.003	-28.918	0.01	7	1.92	0.07	37.642038	0.09433
10	MRK205	185.434254	75.310787	0.0708	-25.7341	0.006	-29.367	0.01	7	1.69	1.0	38.370707	0.104561
11	2MASSiJ1031543-141651	157.97625	-14.280833	0.0858	-25.1024	0.005	-28.773	0.01	7	1.57	0.075	37.040046	0.100335
12	MRK1383	217.27745	1.285132	0.0866	-25.2751	0.006	-29.019	0.01	7	1.92	0.13	37.955128	0.095671
13	161413.20+260416.2	243.55501	26.07117	0.131	-26.0141	0.02701	-29.38741	0.0044	5	2.05657	0.01732	37.359	0.160896
14	111830.28+402554.0	169.62619	40.43167	0.1545	-25.8404	0.00733	-29.69076	0.00424	5	2.60233	0.01738	40.070363	0.069427
15	081441.91+212918.5	123.67466	21.48847	0.1628	-26.5374	0.01095	-29.95585	0.0037	5	2.50827	0.01528	38.964898	0.118176
16	015530.02-085704.0	28.87512	-8.95114	0.165	-26.2838	0.00716	-29.96446	0.01337	5	1.80953	0.05557	40.059881	0.117317
17	120442.10+275411.8	181.17545	27.90328	0.165	-26.3946	0.0313	-29.42312	0.00273	5	1.95121	0.01106	36.036743	0.2108
18	105143.89+335926.7	162.93289	33.99075	0.1671	-26.1435	0.00839	-29.79423	0.00395	5	2.0539	0.01612	39.511776	0.086647
19	111908.67+211917.9	169.78616	21.32165	0.176	-25.2439	0.01202	-29.2833	0.00215	5	2.32626	0.00898	39.825621	0.073653
20	171902.29+593715.9	259.75958	59.6211	0.1785	-26.5778	0.00269	-30.28526	0.03526	5	2.10682	0.15179	40.971597	0.242669
21	075112.18+174351.7	117.80075	17.73104	0.1864	-26.8073	0.01688	-29.88992	0.00331	5	1.91756	0.01387	37.425223	0.173706
22	100055.71+314001.2	150.23213	31.66701	0.1948	-26.8798	0.01122	-30.36191	0.00794	5	2.70832	0.03439	40.240664	0.119784
23	153941.49+504255.7	234.92288	50.71549	0.2032	-26.4863	0.00981	-30.00758	0.01102	5	2.77199	0.04904	39.515197	0.123917
24	095048.38+392650.4	147.70161	39.44736	0.2057	-25.9766	0.01204	-29.65658	0.00304	5	2.16953	0.013	39.287397	0.089299
25	123604.02+264135.9	189.01677	26.69333	0.209	-26.5483	0.00894	-30.27887	0.00785	5	2.07871	0.03463	41.050231	0.091641
26	091617.53+303037.9	139.07306	30.51054	0.2147	-27.022	0.00947	-30.94861	0.03203	5	2.15897	0.14153	43.527147	0.221072
27	142943.07+474726.2	217.42947	47.79062	0.2207	-26.2953	0.00754	-29.84607	0.0029	5	2.22514	0.01264	39.232151	0.095174
28	092140.83+293809.6	140.42013	29.63601	0.2262	-26.9806	0.00987	-30.52467	0.01072	5	2.17908	0.04715	40.901222	0.120536
29	103935.75+533038.7	159.89899	53.51075	0.2291	-27.1184	0.0128	-30.32583	0.00916	5	1.921	0.04092	39.025956	0.159825
