GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
60708	1.92	3.50569	3.44297	3.56842	-10.8688	-10.93	-10.8077	2.485	1.069824752	0.401621713	1.12969	1.10116	1.15821	2.27	6.2	1.681553475	0.803465575	3.040307149	0.062725	47.77426631	0.216333293	L-G-P	L-G	6.89e-8	7.96e-9	-0.844645	0.302002121	121.922	347.8896667	0.466831588	0.563402127	50.92501587	0.5265	ISM	CPL	50.9	0.5265	28.6591	60708	14.259103713617574	2.2590243454951873
70306	1.4959	4.86926	4.84102	4.8975	-11.2737	-11.3072	-11.2402	1.831	0.086	0.084	1.89982	1.83794	1.9617	2.7	6.1	0.856778592	0.040369952	4.472032819	0.02824	46.80976681	0.039255488	L-G-P	L-G	2.01e-7	8.99e-9	-1.18761	0.214595455	116.731	276.2137273	0.639264127	0.407557248	51.25954849	0.2776	N/A	CPL	51.3	0.2776	28.5257	70306	12.894322262170256	1.0758556022262793
70508	0.82	3.02525	3.01336	3.03714	-9.16118	-9.17197	-9.15038	1.764	0.037	0.036	1.37377	1.36042	1.38713	2	6	0.868206739	0.011501125	2.765178612	0.01189	48.28276817	0.012232339	L-G-P	L-G	2.24e-6	3.07e-8	-0.678584	0.093997273	213.491	43.08666667	0.570160107	0.031652256	51.6118819	0.0248	ISM	CPL	51.6	0.0248	28.203	70508	11.598989519336717	0.08652130779034303
70521	0.553	3.55243	3.50399	3.60087	-10.0125	-10.0615	-9.96348	1.98	0.808115091	0.513078941	1.44502	1.38882	1.50122	1.8	5.5	0.991234869	0.17468997	3.361258544	0.04844	47.0714055	0.090884585	L-G-P	L-G	8.71e-8	1.2e-8	-0.528335	0.164807273	184.342	61.55121212	0.66213534	0.053106407	49.84872572	0.0693	Wind	CPL	49.8	0.0693	27.9942	70521	19.725843911247694	0.41306818777738774
061222A	2.088	3.92091	3.89648	3.94535	-9.95369	-9.9768	-9.93058	1.86	0.13	0.12	1.35061	1.33254	1.36869	2.38	6.2	0.853975044	0.072945231	3.431232708	0.024435	48.48429227	0.043706316	L-G-P	L-G	7.33e-7	1.51e-8	-0.486808	0.128506667	225.828	69.03333333	0.268923089	0.040708328	51.80106517	0.0664	Wind	CPL	51.8	0.0664	28.7037	061222A	10.9583868077614	0.2183127007275664
131030A	1.29	2.84594	2.81837	2.87352	-9.29414	-9.31932	-9.26897	1.693	0.051	0.036	1.11188	1.10373	1.12003	2.5	6.2	0.77540841	0.016937741	2.486104518	0.027575	48.58703482	0.026903079	L-G-P	L-G	2.65e-6	4.61e-8	-0.584711	0.113286364	229.293	63.64	0.415626562	0.041193522	52.03424754	0.0437	N/A	CPL	52	0.0437	28.4462	131030A	10.217541069409293	0.13401308230297715
140506A	0.889	3.30686	3.23804	3.37568	-9.90438	-9.95954	-9.84922	1.9	0.423231615	0.327299557	0.948932	0.933362	0.964502	2.8	6.2	0.938375811	0.135744177	3.030628042	0.06882	47.65979038	0.083603454	L-G-P	L-G	8.67e-7	4.56e-8	-0.529779	0.365507273	100.377	33.35454545	0.664030721	0.105160732	51.35201177	0.0725	ISM	CPL	51.4	0.0725	28.2463	140506A	12.540899896135848	0.2731549956851426
150314A	1.758	2.49217	2.47632	2.50803	-8.6099	-8.62492	-8.59487	1.73	0.032	0.032	1.19079	1.18086	1.20071	2	6	0.76039552	0.014960982	2.051575738	0.015855	49.59450166	0.017284827	L-G-P	L-G	3.81e-6	6.06e-8	-0.465417	0.105857879	248.872	61.96484848	0.297269658	0.033002019	52.37722274	0.0487	N/A	CPL	52.4	0.0487	28.6121	150314A	9.218335586073618	0.13469012332439545
170705A	2.01	3.63746	3.57143	3.70349	-10.1867	-10.2272	-10.1461	1.66	0.18	0.17	0.774169	0.746836	0.801502	2.8	5	0.687523253	0.080352515	3.158893504	0.06603	48.11668052	0.064965998	L-G-P	L-G	1.13e-6	2.41e-8	-0.917261	0.134438788	161.283	53.27242424	0.429474938	0.060923121	52.15093098	0.0623	ISM	CPL	52.2	0.0623	28.6834	170705A	9.865942979954076	0.18445728432538572
190106A	1.86	4.19124	4.16014	4.22233	-10.4325	-10.4611	-10.404	2.9365	1.451761775	1.000740851	1.26841	1.24141	1.29542	2.45	6.2	2.675388094	2.089350651	3.734873967	0.031095	48.3784193	0.340362817	L-G-P	L-G	3.36e-7	1.3e-8	-0.892926	0.225653939	74.7712	12.15130303	0.614299062	0.072716274	51.69810232	0.0541	ISM	CPL	51.7	0.0541	28.6422	190106A	11.302487790913158	0.183536048743511
