GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
121128A	2.2	3.23392922	3.204133652	3.263724787	-9.618411717	-9.64710174	-9.589721693	1.9455	0.127475488	0.106800047	1.545465839	1.513020838	1.57791084	2.2	5	0.938575744	0.077502971	2.728779242	0.029795568	48.91600556	0.045925957	L-G-P	L-G	1.04e-6	2.1e-8	-0.495255	0.136096061	107.708	9.817030303	0.374054392	0.035113467	52.15321282	0.0417	ISM	CPL	52.2	0.0417	28.7314	121128A	9.8591898104533	0.12335363306075633
81221	2.26	2.931957486	2.900780835	2.963134137	-9.354590372	-9.379575872	-9.329604872	1.991	0.056	0.055	1.235861256	1.222999399	1.248723112	2.4	6	0.989420813	0.039328493	2.418739886	0.031176651	49.23122892	0.03036904	L-G-P	L-G	1.47e-6	2.46e-8	-0.786642	0.109054545	141.902	21.64121212	0.380389005	0.038129286	52.33887632	0.0441	N/A	CPL	52.3	0.0441	28.7456	81221	9.32499174100697	0.12346302110193991
140629A	2.3	2.85608	2.79447	2.91769	-9.84891	-9.8917	-9.80613	1.815	0.109658561	0.106301458	1.16056	1.12555	1.19557	2	5.2	0.801816375	0.062648469	2.33756606	0.06161	48.66416278	0.054607618	L-G-P	L-G	3.5e-7	1.87e-8	-1.35453	0.082972727	-	-	0.462716309	0.045838067	51.81825264	0.0489	S	PL	51.8182	0.0489	28.7549	140629A	10.901981831380883	0.15998177226455187
70110	2.352	4.26825	4.21425	4.32224	-11.0488	-11.1036	-10.9941	2.186	0.451559797	0.208224038	1.42725	1.3807	1.47381	2.4	6.5	1.25229471	0.302845191	3.74294599	0.053995	47.68153566	0.118440304	L-G-P	L-G	4.73e-8	6.48e-9	-1.46378	0.206030303	-	-	0.522783033	0.130280372	51.02600056	0.1235	Wind	PL	51.026	0.1235	28.7667	70110	13.832417221132923	0.5137851412291045
160227A	2.38	4.47751	4.43866	4.51636	-10.9957	-11.0263	-10.9652	1.679	0.097	0.095	1.10229	1.06795	1.13663	3.2	6.2	0.676422023	0.047930063	3.9485933	0.03885	47.47964693	0.043362434	L-G-P	L-G	4.88e-8	6.88e-9	1.99129	1.626028758	73.7237	14.236	0.234514138	0.1232319	50.70341821	0.2363	S	CPL	50.7	0.2363	28.7729	160227A	15.242634749496	1.0845834954119822
140509A	2.4	3.58709	3.52293	3.70036	-11.0977	-11.1759	-11.008	1.86	0.23	-0.21	1.40649	1.312	1.52036	2.85	5	0.842544701	0.006249003	3.055611083	0.088715	47.4818573	0.084011772	L-G-P	L-G	1.18e-7	1.77e-8	-1.49284	0.234306061	-	-	0.537594915	0.154148891	51.45715968	0.1405	Wind	PL	51.4571	0.1405	28.7774	140509A	12.15084113276727	0.5128365537698875
80310	2.4266	4.326080559	4.2880938	4.364067319	-11.39909559	-11.44156902	-11.35662216	1.878	0.139	0.064	1.595906475	1.530630124	1.661182827	3	6	0.860491657	0.065190955	3.791217148	0.037986759	47.20124797	0.053726597	L-G-P	L-G	7.52e-8	8.93e-9	-0.718262	0.813071212	43.814	16.80633333	0.754567723	0.263836736	51.41946514	0.1604	ISM	CPL	51.4	0.1604	28.7832	80310	12.289247551763971	0.5922502128401452
70529	2.4996	3.09323	3.02519	3.16128	-10.2468	-10.302	-10.1916	1.76	0.21	0.18	1.21432	1.17931	1.24933	2.2	5.8	0.740347445	0.109601257	2.549211592	0.068045	48.31948561	0.084738661	L-G-P	L-G	1.11e-7	1.84e-8	-1.4869	0.240866667	-	-	0.525852757	0.158660983	51.46473424	0.1494	S	PL	51.4647	0.1494	28.7988	70529	12.123219000243852	0.5440320424327384
80721	2.6	2.87876286	2.871208044	2.886317675	-8.713485538	-8.720504837	-8.70646624	1.735	0.018	0.018	1.334375589	1.327939916	1.340811262	2	6.1	0.712163707	0.00995165	2.322460359	0.007554816	49.87740636	0.009279027	L-G-P	L-G	1.93e-6	1.03e-7	-0.994738	0.088898485	-	-	0.275911775	0.031418923	52.46396221	0.0546	N/A	PL	52.4639	0.0546	28.8195	80721	8.981577498637952	0.14707086074404982
120811C	2.67	3.159095907	3.074895606	3.243296209	-10.14322956	-10.19617642	-10.0902827	1.65	0.40607881	0.224610774	1.016132987	0.978131997	1.054133977	2.3	6	0.63440541	0.157643465	2.594429843	0.084200301	48.42537959	0.120206651	L-G-P	L-G	2.6e-7	1.1e-8	-1.01966	0.252895455	60.0747	8.017272727	0.618820989	0.08111594	51.97322724	0.0598	S	CPL	52	0.0598	28.8335	120811C	10.406399933488231	0.18686204234626275
